dra_id,act_id
0,0
0,1
0,2
0,3
0,4
0,5
1,6
1,7
1,8
1,9
1,10
1,11
2,12
2,13
2,14
2,15
2,16
2,17
3,6
3,7
3,8
3,9
3,10
3,11
4,18
4,19
4,20
4,21
4,22
4,23
5,24
5,8
5,25
5,26
5,27
5,28
6,29
6,30
6,31
6,32
6,33
6,34
7,35
7,36
7,37
7,38
7,39
7,40
8,41
8,42
8,43
8,44
8,45
8,46
9,47
9,48
9,49
9,50
9,51
9,52
10,0
10,53
10,54
10,55
10,56
10,57
11,58
11,59
11,60
11,2
11,61
11,62
12,63
12,64
12,65
12,66
12,67
12,68
13,69
13,70
13,71
13,72
13,73
13,74
14,75
14,76
14,77
14,42
14,78
14,79
15,80
15,81
15,82
15,83
15,84
15,85
16,86
16,87
16,88
16,89
16,90
16,91
17,92
17,93
17,94
17,7
17,95
17,96
18,97
18,98
18,99
18,100
18,101
18,102
19,103
19,87
19,66
19,104
19,105
19,106
20,107
20,108
20,109
20,110
20,111
20,112
21,113
21,114
21,115
21,116
21,73
21,117
22,118
22,119
22,120
22,121
22,122
22,123
23,124
23,125
23,126
23,127
23,128
23,129
24,86
24,89
24,87
24,88
24,130
24,90
25,131
25,132
25,133
25,134
25,135
25,136
26,137
26,138
26,51
26,139
26,140
26,141
27,142
27,94
27,143
27,38
27,144
27,145
28,146
28,147
28,148
28,149
28,150
28,91
29,151
29,133
29,22
29,134
29,152
29,136
30,153
30,154
30,155
30,156
30,157
30,158
31,0
31,159
31,160
31,161
31,162
31,163
32,164
32,165
32,166
32,95
32,167
32,168
33,169
33,170
33,171
33,172
33,20
33,173
34,174
34,83
34,1
34,175
34,176
34,177
35,178
35,179
35,115
35,180
35,181
35,182
36,183
36,184
36,185
36,139
36,186
36,187
37,188
37,189
37,190
37,191
37,192
37,179
38,193
38,194
38,191
38,195
38,196
38,197
39,164
39,198
39,30
39,199
39,65
39,83
40,142
40,134
40,200
40,201
40,202
40,203
41,204
41,205
41,206
41,207
41,208
41,209
42,210
42,211
42,60
42,212
42,213
42,214
43,215
43,216
43,217
43,218
43,219
43,220
44,142
44,221
44,222
44,223
44,224
44,225
45,69
45,226
45,227
45,228
45,229
45,230
46,231
46,232
46,233
46,234
46,95
46,9
47,69
47,226
47,227
47,228
47,235
47,236
48,237
48,238
48,239
48,240
48,90
48,241
49,242
49,154
49,243
49,244
49,245
49,129
50,215
50,7
50,246
50,158
50,247
50,163
51,248
51,126
51,249
51,250
51,180
51,251
52,12
52,19
52,234
52,252
52,138
52,253
53,69
53,254
53,255
53,226
53,256
53,257
54,258
54,259
54,260
54,37
54,17
54,261
55,262
55,64
55,263
55,91
55,264
55,104
56,265
56,266
56,267
56,268
56,269
56,270
57,271
57,272
57,273
57,43
57,34
57,57
58,274
58,275
58,276
58,277
58,278
58,279
59,231
59,109
59,268
59,280
59,281
59,282
60,283
60,284
60,34
60,285
60,286
60,217
61,287
61,288
61,289
61,290
61,291
61,292
62,293
62,294
62,295
62,296
62,297
62,168
63,298
63,299
63,181
63,300
63,301
63,302
64,303
64,304
64,305
64,306
64,307
64,308
65,309
65,310
65,311
65,312
65,313
65,314
66,315
66,288
66,316
66,317
66,318
66,319
67,320
67,321
67,322
67,323
67,324
67,52
68,258
68,325
68,326
68,327
68,55
68,328
69,103
69,87
69,329
69,330
69,66
69,82
70,35
70,331
70,332
70,110
70,333
70,40
71,334
71,335
71,336
71,337
71,338
71,84
72,339
72,340
72,259
72,341
72,342
72,343
73,344
73,111
73,345
73,346
73,66
73,347
74,146
74,316
74,51
74,348
74,349
74,330
75,350
75,351
75,352
75,353
75,354
75,355
76,356
76,127
76,357
76,358
76,66
76,359
77,360
77,361
77,362
77,357
77,363
77,82
78,364
78,365
78,366
78,197
78,367
78,368
79,369
79,370
79,371
79,372
79,373
79,374
80,375
80,376
80,377
80,223
80,378
80,100
81,379
81,380
81,268
81,149
81,381
81,207
82,382
82,71
82,383
82,229
82,384
82,385
83,386
83,332
83,387
83,388
83,389
83,390
84,391
84,358
84,392
84,393
84,394
84,395
85,396
85,397
85,398
85,249
85,399
85,400
86,401
86,402
86,403
86,404
86,405
86,389
87,406
87,407
87,194
87,408
87,409
87,354
88,410
88,377
88,411
88,412
88,413
88,414
89,415
89,416
89,239
89,316
89,417
89,418
90,419
90,420
90,421
90,422
90,423
90,424
91,425
91,239
91,426
91,427
91,428
91,143
92,69
92,226
92,227
92,228
92,160
92,429
93,430
93,431
93,181
93,432
93,433
93,434
94,435
94,222
94,436
94,161
94,437
94,438
95,183
95,439
95,333
95,440
95,441
95,442
96,142
96,416
96,443
96,422
96,444
96,445
97,375
97,234
97,398
97,446
97,37
97,121
98,447
98,448
98,159
98,449
98,450
98,451
99,452
99,226
99,453
99,454
99,455
99,456
